dedupe_key,account,posted_at_utc,tweet_id,text_preview
v2:3c3198376ebcabb1,ACC1,2025-09-08T19:03:50.591072+00:00,1965128965364068757,"Texto ES con foto v2, testeo final. Ahora sí."
v2:69b2e5ae1cac1739,ACC1,2025-09-08T19:47:52.509699+00:00,1965140046543045039,Prueba ES con foto
v2:b8b656e4f35382d2,ACC2,2025-09-08T19:47:54.532751+00:00,1965140054235349142,EN test with photo
v2:d8622c3ef4f5716f,ACC3,2025-09-08T19:47:56.516885+00:00,1965140063223681514,DE Test mit Foto
ts:ACC2:2025-09-08T20:12,ACC2,2025-09-08T20:14:29.220381+00:00,1965146743432986718,sdfsdfsfsfEN test with photo
ts:ACC3:2025-09-08T20:12,ACC3,2025-09-08T20:14:31.247835+00:00,1965146752131932227,DE Test mit Foto
ts:ACC1:2025-09-08T20:16,ACC1,2025-09-08T20:18:53.092133+00:00,1965147850339213369,ESS Prueba con foto
ts:ACC2:2025-09-08T20:16,ACC2,2025-09-08T20:18:54.975221+00:00,1965147858048331907,ENN test with photo
ts:ACC3:2025-09-08T20:16,ACC3,2025-09-08T20:18:57.052210+00:00,1965147866856395084,DEE Test mit Foto
ts:ACC1:2025-09-08T20:20,ACC1,2025-09-08T20:21:54.695737+00:00,1965148612096393562,ESS Prueba con foto
ts:ACC2:2025-09-08T20:20,ACC2,2025-09-08T20:21:56.738905+00:00,1965148620635996641,ENN test with photo
ts:ACC3:2025-09-08T20:20,ACC3,2025-09-08T20:21:58.518761+00:00,1965148628127023319,DEE Test mit Foto
ts:ACC1:2025-09-11T03:26,ACC1,2025-09-11T03:29:08.303158+00:00,1965980902821110248,Testeando
ts:ACC1:2025-09-11T03:59,ACC1,2025-09-11T04:01:05.250736+00:00,1965988943112847867,Testeando
ts:ACC2:2025-09-11T03:59,ACC2,2025-09-11T04:01:07.530313+00:00,1965988952772358508,Testeando
ts:ACC3:2025-09-11T03:59,ACC3,2025-09-11T04:01:09.832120+00:00,1965988962360602764,Testeando
